Código,Título,Grupo de alimentos,Energía <ENERC> - kcal,Energía <ENERC> - KJ,Agua <WATER>,Proteínas <PROCNT>,Grasa total <FAT>,Carbohidratos totales <CHOCDF>,Carbohidratos disponibles <CHOAVL>,Fibra dietaria <FIBTG>,Cenizas <ASH>,Calcio <CA>,Fósforo <P>,Zinc <ZN>,Hierro <FE>,Sodio <NA>,Potasio <K>,β caroteno equivalentes totales <CARTBQ>,Vitamina A equivalentes totales <VITA>,Tiamina <THIA>,Riboflavina <RIBF>,Niacina <NIA>,Vitamina C <VITC>,Ácido fólico,Acción
C19,Granada,FRUTAS Y DERIVADOS,66kcal,277KJ,80.00g,0.50g,0.10g,18.30g,17.70g,0.60g,1.10g,10mg,38mg,0.12mg,0.30mg,-1mg,-1mg,-1μg,5μg,0.09mg,0.04mg,1.56mg,5.20mg,-1μg,
C20,Granadilla,FRUTAS Y DERIVADOS,51kcal,214KJ,82.30g,2.50g,2.70g,11.40g,5.70g,5.80g,1.10g,17mg,128mg,-1.00mg,1.28mg,11mg,338mg,0μg,0μg,0.11mg,0.13mg,2.14mg,9.88mg,-1μg,
C21,"Granadilla, jugo enlatado de",FRUTAS Y DERIVADOS,62kcal,258KJ,82.00g,1.10g,0.00g,16.10g,-1.00g,-1.00g,0.80g,6mg,50mg,-1.00mg,0.60mg,-1mg,-1mg,-1μg,-1μg,0.00mg,0.03mg,-1.00mg,129.60mg,-1μg,
C22,Guanábana,FRUTAS Y DERIVADOS,44kcal,185KJ,84.00g,0.90g,0.20g,14.30g,11.00g,3.30g,0.60g,38mg,43mg,0.10mg,0.70mg,-1mg,-1mg,-1μg,0μg,0.05mg,0.06mg,1.69mg,19.00mg,-1μg,
C23,Guayaba,FRUTAS Y DERIVADOS,37kcal,154KJ,83.90g,0.50g,0.10g,14.90g,9.50g,5.40g,0.60g,18mg,23mg,0.23mg,0.30mg,-1mg,-1mg,-1μg,31μg,0.04mg,0.04mg,1.44mg,60.00mg,-1μg,
C24,Guayaba amarilla con cáscara,FRUTAS Y DERIVADOS,13kcal,53KJ,88.20g,1.20g,0.30g,9.70g,1.80g,8.00g,0.60g,32mg,15mg,0.23mg,0.23mg,2mg,195mg,3μg,0μg,0.05mg,0.06mg,0.44mg,56.10mg,-1μg,
C25,Guayaba rosada,FRUTAS Y DERIVADOS,37kcal,154KJ,84.00g,0.50g,0.20g,14.70g,9.30g,5.40g,0.60g,17mg,23mg,0.23mg,0.30mg,-1mg,-1mg,-1μg,31μg,0.04mg,0.05mg,1.40mg,9.80mg,-1μg,
C26,Guayaba verde,FRUTAS Y DERIVADOS,36kcal,151KJ,84.30g,0.50g,0.10g,14.70g,9.30g,5.40g,0.40g,30mg,11mg,0.23mg,0.00mg,-1mg,-1mg,-1μg,31μg,0.04mg,0.06mg,0.66mg,17.70mg,-1μg,
C27,Higo negro,FRUTAS Y DERIVADOS,65kcal,272KJ,78.00g,0.90g,0.10g,19.90g,17.00g,2.90g,1.10g,58mg,43mg,0.15mg,0.80mg,-1mg,-1mg,-1μg,7μg,0.04mg,0.05mg,0.52mg,2.90mg,-1μg,
C28,Higo seco,FRUTAS Y DERIVADOS,146kcal,612KJ,47.70g,3.60g,0.20g,46.60g,36.80g,9.80g,1.90g,109mg,100mg,0.55mg,2.40mg,-1mg,-1mg,-1μg,10μg,0.00mg,0.08mg,0.90mg,3.70mg,-1μg,
C29,Huito,FRUTAS Y DERIVADOS,55kcal,230KJ,83.90g,1.20g,0.10g,14.00g,-1.00g,-1.00g,0.80g,69mg,21mg,-1.00mg,0.50mg,-1mg,-1mg,-1μg,0μg,0.03mg,0.33mg,0.54mg,1.10mg,-1μg,
C30,"Humarí  / Umari, sin pepa y sin cáscara",FRUTAS Y DERIVADOS,163kcal,682KJ,62.10g,1.60g,8.10g,27.40g,25.00g,2.40g,0.90g,5mg,30mg,0.50mg,0.72mg,10mg,211mg,-1μg,20μg,0.03mg,0.74mg,1.50mg,0.21mg,-1μg,
C31,Kaki,FRUTAS Y DERIVADOS,64kcal,270KJ,78.10g,0.50g,0.10g,20.80g,17.20g,3.60g,0.50g,9mg,26mg,0.11mg,0.20mg,-1mg,-1mg,-1μg,81μg,0.05mg,0.03mg,0.00mg,6.90mg,-1μg,
C32,Kumuvi,FRUTAS Y DERIVADOS,101kcal,423KJ,71.90g,0.70g,0.60g,25.90g,-1.00g,-1.00g,0.90g,16mg,31mg,-1.00mg,3.50mg,-1mg,-1mg,-1μg,7μg,0.02mg,0.04mg,0.22mg,2.80mg,-1μg,
C33,Lima,FRUTAS Y DERIVADOS,13kcal,55KJ,92.80g,0.60g,0.40g,5.90g,3.10g,2.80g,0.30g,31mg,9mg,0.11mg,0.20mg,-1mg,-1mg,-1μg,2μg,0.03mg,0.04mg,0.30mg,36.00mg,-1μg,
C34,"Limón, jugo de",FRUTAS Y DERIVADOS,28kcal,119KJ,89.30g,0.50g,0.20g,9.70g,9.30g,0.40g,0.30g,18mg,14mg,0.05mg,0.50mg,-1mg,-1mg,-1μg,1μg,0.03mg,0.03mg,0.11mg,44.20mg,-1μg,
C35,Lúcuma,FRUTAS Y DERIVADOS,97kcal,406KJ,61.70g,2.10g,0.20g,34.90g,24.70g,10.20g,1.20g,16mg,26mg,-1.00mg,0.79mg,-1mg,-1mg,1750μg,292μg,0.01mg,0.14mg,1.96mg,0.77mg,-1μg,
C36,"Lúcuma, harina de",FRUTAS Y DERIVADOS,329kcal,1377KJ,9.30g,4.00g,2.40g,82.00g,-1.00g,-1.00g,2.30g,92mg,186mg,-1.00mg,4.60mg,-1mg,-1mg,-1μg,-1μg,0.02mg,0.03mg,-1.00mg,11.60mg,-1μg,
C37,"Macambo, pulpa y semilla",FRUTAS Y DERIVADOS,177kcal,741KJ,61.10g,6.70g,9.20g,21.50g,-1.00g,-1.00g,1.50g,19mg,165mg,-1.00mg,1.70mg,-1mg,-1mg,-1μg,-1μg,0.95mg,1.05mg,1.20mg,9.20mg,-1μg,
C38,"Macambo, pulpa de",FRUTAS Y DERIVADOS,44kcal,184KJ,88.00g,2.10g,0.80g,8.30g,-1.00g,-1.00g,0.80g,-1mg,44mg,-1.00mg,0.50mg,-1mg,-1mg,-1μg,26μg,0.08mg,0.09mg,3.10mg,22.80mg,-1μg,
C39,Mamey maduro,FRUTAS Y DERIVADOS,27kcal,111KJ,88.90g,0.50g,0.10g,9.70g,6.70g,3.00g,0.80g,51mg,46mg,0.10mg,0.40mg,-1mg,-1mg,-1μg,12μg,0.02mg,0.04mg,0.61mg,2.00mg,-1μg,
C40,Mandarina,FRUTAS Y DERIVADOS,29kcal,121KJ,90.10g,0.60g,0.30g,8.60g,6.80g,1.80g,0.40g,19mg,17mg,0.07mg,0.30mg,-1mg,-1mg,-1μg,34μg,0.06mg,0.05mg,0.30mg,48.70mg,-1μg,
C41,Mango,FRUTAS Y DERIVADOS,54kcal,225KJ,83.00g,0.40g,0.20g,15.90g,14.10g,1.80g,0.50g,17mg,15mg,0.04mg,0.40mg,-1mg,-1mg,-1μg,38μg,0.03mg,0.11mg,0.39mg,24.80mg,-1μg,
C42,Manzana nacional,FRUTAS Y DERIVADOS,50kcal,208KJ,84.70g,0.30g,0.10g,14.60g,13.30g,1.30g,0.30g,5mg,11mg,0.05mg,1.40mg,-1mg,-1mg,-1μg,2μg,0.03mg,0.04mg,0.13mg,1.30mg,-1μg,
C43,"Maracuyá, jugo puro de",FRUTAS Y DERIVADOS,61kcal,256KJ,82.30g,0.90g,0.10g,16.10g,15.90g,0.20g,0.60g,13mg,30mg,0.06mg,3.00mg,-1mg,-1mg,-1μg,121μg,0.03mg,0.15mg,2.24mg,22.00mg,-1μg,
C44,Marañón,FRUTAS Y DERIVADOS,35kcal,146KJ,87.90g,0.80g,0.50g,10.50g,7.80g,2.70g,0.30g,8mg,30mg,-1.00mg,3.00mg,-1mg,-1mg,-1μg,15μg,0.05mg,0.05mg,0.96mg,108.00mg,-1μg,
C45,Melón,FRUTAS Y DERIVADOS,21kcal,86KJ,92.90g,0.50g,0.10g,5.80g,5.00g,0.80g,0.70g,13mg,15mg,0.09mg,0.50mg,-1mg,-1mg,-1μg,3μg,0.04mg,0.04mg,0.64mg,23.00mg,-1μg,
C46,Melón enano,FRUTAS Y DERIVADOS,20kcal,84KJ,94.30g,0.60g,0.20g,4.40g,-1.00g,-1.00g,0.50g,23mg,3mg,-1.00mg,0.40mg,-1mg,-1mg,-1μg,6μg,0.02mg,0.06mg,0.38mg,15.30mg,-1μg,
C47,Membrillo,FRUTAS Y DERIVADOS,36kcal,152KJ,86.90g,0.30g,0.10g,11.50g,9.60g,1.90g,1.20g,9mg,29mg,0.04mg,0.70mg,-1mg,-1mg,-1μg,2μg,0.02mg,0.07mg,0.23mg,12.50mg,-1μg,
C48,Naranja,FRUTAS Y DERIVADOS,31kcal,131KJ,88.50g,0.60g,0.20g,10.10g,7.70g,2.40g,0.60g,23mg,51mg,0.07mg,0.20mg,-1mg,-1mg,-1μg,11μg,0.09mg,0.04mg,0.36mg,92.30mg,-1μg,
C49,"Naranja agria, jugo de",FRUTAS Y DERIVADOS,32kcal,135KJ,90.70g,0.50g,0.20g,8.20g,8.00g,0.20g,0.40g,31mg,9mg,0.07mg,0.20mg,-1mg,-1mg,-1μg,9μg,0.03mg,0.05mg,0.13mg,42.00mg,-1μg,
C50,Naranja de Guayaquil,FRUTAS Y DERIVADOS,31kcal,132KJ,88.60g,0.50g,0.20g,10.20g,7.80g,2.40g,0.50g,37mg,17mg,0.07mg,0.10mg,-1mg,-1mg,-1μg,11μg,0.05mg,0.01mg,0.14mg,42.20mg,-1μg,
C51,Naranja de Huando,FRUTAS Y DERIVADOS,36kcal,152KJ,87.30g,1.20g,0.20g,10.90g,8.50g,2.40g,0.40g,30mg,17mg,0.07mg,0.10mg,-1mg,-1mg,-1μg,11μg,0.06mg,0.02mg,0.29mg,43.90mg,-1μg,
C52,Níspero,FRUTAS Y DERIVADOS,41kcal,170KJ,86.50g,0.30g,0.00g,12.70g,11.00g,1.70g,0.50g,21mg,16mg,0.05mg,0.30mg,-1mg,-1mg,-1μg,76μg,0.02mg,0.11mg,0.37mg,1.20mg,-1μg,
C53,Nuzive,FRUTAS Y DERIVADOS,138kcal,577KJ,70.30g,2.70g,7.80g,17.70g,-1.00g,-1.00g,1.50g,38mg,113mg,-1.00mg,7.50mg,-1mg,-1mg,-1μg,9μg,0.23mg,0.15mg,1.08mg,1.70mg,-1μg,
C54,Pacae  o Guaba,FRUTAS Y DERIVADOS,56kcal,234KJ,84.10g,0.60g,0.10g,14.80g,-1.00g,-1.00g,0.40g,14mg,30mg,-1.00mg,0.40mg,-1mg,-1mg,-1μg,0μg,0.02mg,0.07mg,0.50mg,1.40mg,-1μg,
C55,Palta,FRUTAS Y DERIVADOS,130kcal,546KJ,79.20g,1.70g,12.50g,5.60g,-1.00g,-1.00g,1.00g,30mg,67mg,0.64mg,0.60mg,-1mg,-1mg,-1μg,7μg,0.03mg,0.10mg,1.82mg,6.80mg,-1μg,
C56,Pan de árbol con semilla,FRUTAS Y DERIVADOS,117kcal,489KJ,63.40g,4.50g,1.80g,29.00g,24.10g,4.90g,1.30g,20mg,255mg,0.12mg,0.90mg,-1mg,-1mg,-1μg,0μg,0.22mg,0.09mg,2.60mg,6.60mg,-1μg,
C57,Pan de árbol sin semilla,FRUTAS Y DERIVADOS,30kcal,124KJ,86.40g,1.60g,0.50g,10.50g,5.60g,4.90g,1.00g,71mg,37mg,0.12mg,2.80mg,-1mg,-1mg,-1μg,0μg,0.07mg,0.08mg,0.78mg,2.10mg,-1μg,
C58,Pan-Meo,FRUTAS Y DERIVADOS,78kcal,326KJ,78.00g,1.30g,0.20g,19.90g,-1.00g,-1.00g,0.60g,21mg,21mg,-1.00mg,-1.00mg,-1mg,-1mg,-1μg,-1μg,0.07mg,0.09mg,0.66mg,1.40mg,-1μg,
C59,Papaya,FRUTAS Y DERIVADOS,25kcal,106KJ,90.80g,0.40g,0.10g,8.20g,6.40g,1.80g,0.50g,23mg,14mg,0.07mg,0.30mg,2mg,136mg,67μg,11μg,0.03mg,0.07mg,0.41mg,47.70mg,-1μg,
C60,Pasa sin pepa,FRUTAS Y DERIVADOS,228kcal,953KJ,31.60g,2.40g,0.40g,63.80g,60.10g,3.70g,1.80g,64mg,91mg,0.22mg,3.70mg,-1mg,-1mg,-1μg,0μg,0.12mg,0.13mg,0.37mg,2.30mg,-1μg,
C61,Pepino dulce,FRUTAS Y DERIVADOS,26kcal,109KJ,92.30g,0.30g,0.00g,7.00g,-1.00g,-1.00g,0.40g,30mg,10mg,-1.00mg,0.30mg,-1mg,-1mg,-1μg,28μg,0.04mg,0.05mg,0.58mg,29.70mg,-1μg,
C62,Pera chilena,FRUTAS Y DERIVADOS,38kcal,160KJ,86.00g,0.30g,0.10g,13.20g,10.10g,3.10g,0.40g,4mg,16mg,0.10mg,0.30mg,-1mg,-1mg,-1μg,1μg,0.02mg,0.04mg,0.24mg,1.90mg,-1μg,
C63,Pera de agua,FRUTAS Y DERIVADOS,42kcal,176KJ,85.80g,0.40g,0.60g,13.00g,9.90g,3.10g,0.20g,7mg,5mg,0.10mg,0.10mg,-1mg,-1mg,-1μg,1μg,0.02mg,0.06mg,0.16mg,6.50mg,-1μg,
C64,Pera nacional,FRUTAS Y DERIVADOS,55kcal,230KJ,84.70g,0.40g,0.20g,14.50g,-1.00g,-1.00g,0.20g,2mg,6mg,-1.00mg,0.30mg,-1mg,-1mg,-1μg,0μg,0.02mg,0.05mg,0.16mg,2.50mg,-1μg,
C65,Pera perilla,FRUTAS Y DERIVADOS,58kcal,243KJ,84.20g,0.60g,0.50g,14.40g,-1.00g,-1.00g,0.30g,10mg,18mg,-1.00mg,0.50mg,-1mg,-1mg,-1μg,0μg,0.03mg,0.05mg,0.44mg,3.60mg,-1μg,
C66,Pero,FRUTAS Y DERIVADOS,50kcal,211KJ,85.40g,0.40g,0.70g,13.30g,12.00g,1.30g,0.20g,6mg,9mg,0.05mg,0.30mg,-1mg,-1mg,-1μg,2μg,0.05mg,0.07mg,0.11mg,2.80mg,-1μg,
C67,Pijuayo,FRUTAS Y DERIVADOS,184kcal,770KJ,52.30g,2.80g,3.20g,41.00g,-1.00g,-1.00g,0.70g,27mg,47mg,-1.00mg,1.00mg,-1mg,-1mg,-1μg,140μg,0.05mg,0.28mg,1.38mg,22.60mg,-1μg,
C68,"Pijuayo sancochado, sin cáscara y sin pepas",FRUTAS Y DERIVADOS,120kcal,501KJ,52.20g,2.10g,4.00g,41.00g,22.10g,19.00g,0.70g,23mg,20mg,0.98mg,0.65mg,10mg,215mg,-1μg,108μg,0.11mg,0.20mg,2.49mg,12.79mg,-1μg,
C69,Piña,FRUTAS Y DERIVADOS,33kcal,139KJ,89.30g,0.40g,0.20g,9.80g,8.40g,1.40g,0.30g,10mg,5mg,0.10mg,0.40mg,-1mg,-1mg,-1μg,3μg,0.04mg,0.06mg,0.27mg,19.90mg,-1μg,
C70,Plátano de isla,FRUTAS Y DERIVADOS,75kcal,314KJ,74.20g,1.20g,0.10g,21.60g,19.50g,2.20g,2.90g,9mg,20mg,0.13mg,0.30mg,15mg,388mg,427μg,71μg,0.07mg,0.07mg,0.47mg,0.00mg,-1μg,
C71,Plátano de seda,FRUTAS Y DERIVADOS,74kcal,309KJ,76.20g,1.50g,0.30g,21.00g,18.40g,2.60g,1.00g,5mg,27mg,0.15mg,0.60mg,-1mg,-1mg,-1μg,3μg,0.03mg,0.05mg,0.79mg,4.30mg,-1μg,
C72,Plátano guineo,FRUTAS Y DERIVADOS,111kcal,465KJ,65.90g,1.40g,0.20g,31.70g,29.10g,2.60g,0.80g,10mg,23mg,0.15mg,0.60mg,-1mg,-1mg,-1μg,3μg,0.02mg,0.08mg,0.53mg,1.10mg,-1μg,
C73,Plátano manzano,FRUTAS Y DERIVADOS,90kcal,377KJ,71.50g,1.20g,0.10g,26.40g,23.70g,2.70g,0.80g,4mg,40mg,0.13mg,0.15mg,0mg,287mg,10μg,2μg,0.02mg,0.06mg,0.95mg,7.20mg,-1μg,
C74,"Plátano, harina de",FRUTAS Y DERIVADOS,302kcal,1265KJ,14.00g,4.00g,0.40g,79.30g,-1.00g,-1.00g,2.30g,29mg,104mg,0.81mg,4.62mg,-1mg,-1mg,-1μg,12μg,0.11mg,0.12mg,1.57mg,0.68mg,-1μg,
C75,Plátano maduro,FRUTAS Y DERIVADOS,103kcal,431KJ,68.10g,1.20g,0.20g,29.60g,27.00g,2.60g,0.90g,0mg,37mg,0.15mg,0.40mg,-1mg,-1mg,-1μg,3μg,0.06mg,0.06mg,0.50mg,5.60mg,-1μg,
C76,Plátano morado,FRUTAS Y DERIVADOS,97kcal,405KJ,69.80g,1.00g,0.20g,28.10g,25.50g,2.60g,0.90g,42mg,17mg,0.15mg,0.30mg,-1mg,-1mg,-1μg,3μg,-1.00mg,0.25mg,0.68mg,2.30mg,-1μg,
C77,Plátano seco (orejón),FRUTAS Y DERIVADOS,232kcal,972KJ,24.50g,3.70g,1.20g,68.20g,58.30g,9.90g,2.40g,26mg,84mg,0.61mg,-1.00mg,-1mg,-1mg,-1μg,12μg,0.05mg,0.18mg,1.40mg,1.80mg,-1μg,
C78,Plátano verde,FRUTAS Y DERIVADOS,144kcal,602KJ,57.00g,1.00g,0.20g,40.90g,38.60g,2.30g,0.90g,8mg,43mg,0.14mg,0.50mg,-1mg,-1mg,-1μg,56μg,0.09mg,0.14mg,0.62mg,10.40mg,-1μg,
C79,Plátano verde asado,FRUTAS Y DERIVADOS,243kcal,1018KJ,29.10g,1.50g,0.20g,68.00g,65.70g,2.30g,1.20g,10mg,80mg,0.13mg,0.80mg,-1mg,-1mg,-1μg,45μg,0.11mg,0.22mg,0.90mg,1.40mg,-1μg,
C80,Plátano verde sancochado,FRUTAS Y DERIVADOS,129kcal,540KJ,61.60g,0.70g,0.30g,36.80g,34.50g,2.30g,0.60g,10mg,35mg,0.13mg,0.70mg,-1mg,-1mg,-1μg,45μg,0.06mg,0.17mg,0.53mg,3.40mg,-1μg,
C81,Pomarosa,FRUTAS Y DERIVADOS,33kcal,138KJ,90.70g,0.50g,0.40g,7.90g,-1.00g,-1.00g,0.50g,10mg,9mg,0.06mg,0.20mg,-1mg,-1mg,-1μg,17μg,2.00mg,0.02mg,0.05mg,20.40mg,-1μg,
C82,Purunkari,FRUTAS Y DERIVADOS,151kcal,632KJ,58.10g,2.70g,1.40g,36.30g,-1.00g,-1.00g,1.50g,96mg,39mg,-1.00mg,2.80mg,-1mg,-1mg,-1μg,10μg,0.03mg,0.06mg,1.46mg,5.60mg,-1μg,
C83,Sandia,FRUTAS Y DERIVADOS,23kcal,96KJ,93.00g,0.70g,0.10g,5.90g,5.50g,0.40g,0.30g,6mg,5mg,0.10mg,0.30mg,-1mg,-1mg,-1μg,28μg,0.06mg,0.04mg,0.18mg,3.00mg,-1μg,
C84,"Shiwawaco, semilla",FRUTAS Y DERIVADOS,249kcal,1041KJ,39.00g,6.60g,7.50g,45.50g,-1.00g,-1.00g,1.40g,45mg,179mg,-1.00mg,2.70mg,-1mg,-1mg,-1μg,-1μg,0.02mg,0.08mg,1.07mg,10.60mg,-1μg,
C85,Tamarindo,FRUTAS Y DERIVADOS,221kcal,925KJ,31.40g,2.80g,0.60g,62.50g,57.40g,5.10g,2.70g,74mg,113mg,0.10mg,1.00mg,-1mg,-1mg,-1μg,2μg,0.43mg,0.15mg,1.94mg,3.50mg,-1μg,
C86,Mango ciruelo o taperibá,FRUTAS Y DERIVADOS,56kcal,234KJ,84.50g,0.60g,0.30g,14.20g,-1.00g,-1.00g,0.40g,39mg,27mg,-1.00mg,0.70mg,-1mg,-1mg,-1μg,0μg,0.05mg,0.19mg,0.67mg,5.90mg,-1μg,
C87,Toronja,FRUTAS Y DERIVADOS,33kcal,138KJ,89.80g,0.60g,0.40g,8.80g,7.70g,1.10g,0.40g,34mg,16mg,0.07mg,2.00mg,-1mg,-1mg,-1μg,46μg,-1.00mg,0.01mg,0.20mg,50.60mg,-1μg,
C88,Tumbo costeño,FRUTAS Y DERIVADOS,22kcal,92KJ,93.30g,0.40g,0.00g,5.80g,-1.00g,-1.00g,0.50g,11mg,15mg,-1.00mg,0.40mg,-1mg,-1mg,-1μg,6μg,0.01mg,0.04mg,0.47mg,34.40mg,-1μg,
C89,Tumbo serrano sin cáscara o poro poro,FRUTAS Y DERIVADOS,37kcal,153KJ,84.50g,2.10g,0.40g,12.10g,7.40g,4.80g,1.00g,8mg,34mg,-1.00mg,0.28mg,4mg,447mg,12μg,2μg,0.02mg,0.11mg,4.56mg,159.94mg,-1μg,
C90,Tuna,FRUTAS Y DERIVADOS,46kcal,194KJ,82.30g,0.80g,0.00g,15.40g,12.10g,3.30g,1.50g,16mg,26mg,0.12mg,0.30mg,-1mg,-1mg,-1μg,2μg,0.01mg,0.04mg,0.36mg,19.50mg,-1μg,
C91,Tuna roja,FRUTAS Y DERIVADOS,36kcal,150KJ,86.20g,1.30g,0.20g,12.10g,8.30g,3.80g,0.20g,136mg,20mg,0.26mg,0.17mg,33mg,143mg,0μg,0μg,0.01mg,0.04mg,0.42mg,33.66mg,-1μg,
C92,"Ungurauy, unguraui o ungurahui",FRUTAS Y DERIVADOS,307kcal,1284KJ,41.70g,2.80g,21.10g,33.60g,-1.00g,-1.00g,0.80g,65mg,16mg,-1.00mg,0.90mg,-1mg,-1mg,-1μg,8μg,0.06mg,0.68mg,-1.00mg,0.00mg,-1μg,
C93,Uva blanca,FRUTAS Y DERIVADOS,40kcal,168KJ,87.80g,0.30g,0.20g,11.30g,10.40g,0.90g,0.40g,5mg,20mg,0.07mg,0.80mg,-1mg,-1mg,-1μg,3μg,0.03mg,0.03mg,0.11mg,1.40mg,-1μg,
C94,Uva borgoña,FRUTAS Y DERIVADOS,79kcal,330KJ,77.00g,0.90g,0.30g,21.30g,20.40g,0.90g,0.50g,18mg,32mg,0.07mg,1.10mg,-1mg,-1mg,-1μg,3μg,0.01mg,0.13mg,0.32mg,4.70mg,-1μg,
C95,Uva italia,FRUTAS Y DERIVADOS,63kcal,262KJ,81.10g,0.40g,0.10g,17.70g,16.80g,0.90g,0.70g,19mg,28mg,0.07mg,0.50mg,-1mg,-1mg,-1μg,3μg,0.03mg,0.10mg,0.24mg,2.80mg,-1μg,
C96,Uva negra,FRUTAS Y DERIVADOS,63kcal,265KJ,81.20g,0.20g,0.10g,18.10g,17.20g,0.90g,0.40g,6mg,20mg,0.07mg,2.20mg,-1mg,-1mg,-1μg,3μg,0.05mg,0.04mg,0.15mg,2.20mg,-1μg,
C97,Uva quebranta,FRUTAS Y DERIVADOS,66kcal,276KJ,81.40g,0.50g,0.10g,17.70g,-1.00g,-1.00g,0.30g,14mg,11mg,-1.00mg,0.40mg,-1mg,-1mg,-1μg,0μg,0.05mg,0.07mg,0.11mg,0.70mg,-1μg,
C98,Uvilla,FRUTAS Y DERIVADOS,64kcal,268KJ,82.40g,0.30g,0.30g,16.70g,-1.00g,-1.00g,0.30g,34mg,10mg,-1.00mg,0.60mg,-1mg,-1mg,-1μg,0μg,0.00mg,0.22mg,0.30mg,0.60mg,-1μg,
C99,Zapote,FRUTAS Y DERIVADOS,73kcal,305KJ,79.70g,0.90g,0.30g,18.80g,-1.00g,-1.00g,0.70g,10mg,20mg,0.15mg,0.24mg,21mg,160mg,-1μg,130μg,0.02mg,0.09mg,1.42mg,0.21mg,-1μg,
C100,Aguaymanto,FRUTAS Y DERIVADOS,51kcal,213KJ,79.80g,1.90g,0.00g,17.30g,12.40g,4.90g,1.00g,11mg,38mg,0.40mg,1.24mg,-1mg,293mg,2640μg,440μg,-1.00mg,-1.00mg,-1.00mg,43.30mg,-1μg,
C101,Blanquillo,FRUTAS Y DERIVADOS,47kcal,198KJ,84.80g,1.00g,0.30g,13.30g,11.60g,1.80g,0.60g,-1mg,-1mg,-1.00mg,1.06mg,-1mg,-1mg,0μg,0μg,-1.00mg,-1.00mg,-1.00mg,0.77mg,-1μg,
C102,Carambola,FRUTAS Y DERIVADOS,23kcal,98KJ,91.70g,1.00g,0.50g,6.50g,4.50g,2.00g,0.30g,5mg,9mg,0.12mg,1.16mg,11mg,56mg,30μg,5μg,0.04mg,0.08mg,-1.00mg,22.67mg,-1μg,
C103,"Carambola, refresco natural, cocido, sin azúcar",FRUTAS Y DERIVADOS,6kcal,27KJ,98.50g,0.20g,0.30g,0.90g,-1.00g,-1.00g,0.10g,-1mg,-1mg,-1.00mg,-1.00mg,-1mg,-1mg,-1μg,-1μg,-1.00mg,-1.00mg,-1.00mg,4.12mg,-1μg,
C104,"Carambola, refresco natural, crudo, sin azúcar",FRUTAS Y DERIVADOS,5kcal,21KJ,98.90g,0.20g,0.30g,0.60g,0.50g,0.00g,0.10g,0mg,0mg,0.00mg,0.02mg,0mg,1mg,1μg,0μg,0.00mg,0.00mg,-1.00mg,5.67mg,-1μg,
C105,Coco rallado,FRUTAS Y DERIVADOS,596kcal,2494KJ,3.90g,7.40g,66.80g,19.50g,3.30g,16.20g,2.40g,23mg,170mg,-1.00mg,-1.00mg,101mg,688mg,-1μg,-1μg,-1.00mg,-1.00mg,2.10mg,-1.00mg,-1μg,
C106,"Cocona, jugo natural, cocido, sin azúcar",FRUTAS Y DERIVADOS,0kcal,1KJ,99.20g,-1.00g,-1.00g,0.80g,0.10g,0.70g,-1.00g,9mg,0mg,-1.00mg,0.72mg,23mg,-1mg,-1μg,-1μg,-1.00mg,-1.00mg,-1.00mg,0.00mg,-1μg,
C107,"Durazno, néctar envasado",FRUTAS Y DERIVADOS,6kcal,24KJ,96.80g,0.00g,0.00g,3.10g,1.40g,1.70g,0.10g,-1mg,-1mg,-1.00mg,0.05mg,7mg,37mg,-1μg,-1μg,-1.00mg,-1.00mg,-1.00mg,5.35mg,-1μg,
C108,"Granadilla, jugo natural, sin azúcar",FRUTAS Y DERIVADOS,25kcal,103KJ,90.30g,1.10g,0.20g,7.30g,5.40g,1.90g,1.10g,6mg,42mg,-1.00mg,0.42mg,4mg,112mg,0μg,0μg,0.04mg,0.04mg,0.71mg,11.25mg,-1μg,
C109,Guindón sin pepa,FRUTAS Y DERIVADOS,201kcal,844KJ,34.10g,2.30g,0.20g,60.40g,53.30g,7.00g,3.10g,37mg,50mg,0.27mg,0.83mg,1mg,603mg,68μg,11μg,0.09mg,0.06mg,2.75mg,6.50mg,0μg,
C110,"Kiwi, sin cáscara",FRUTAS Y DERIVADOS,39kcal,161KJ,85.60g,2.90g,0.30g,10.60g,7.30g,3.20g,0.60g,51mg,30mg,0.17mg,0.37mg,21mg,220mg,14μg,2μg,0.04mg,0.03mg,0.60mg,86.76mg,0μg,
C111,"Limón dulce, sin cáscara",FRUTAS Y DERIVADOS,20kcal,83KJ,90.70g,1.40g,0.40g,7.10g,4.80g,2.30g,0.40g,30mg,0mg,0.31mg,0.17mg,16mg,66mg,-1μg,0μg,0.03mg,0.02mg,0.20mg,29.46mg,-1μg,
C112,"Limón, néctar envasado",FRUTAS Y DERIVADOS,57kcal,237KJ,85.70g,0.00g,0.00g,14.20g,14.10g,0.10g,0.10g,-1mg,-1mg,-1.00mg,0.01mg,19mg,18mg,-1μg,-1μg,-1.00mg,-1.00mg,-1.00mg,8.66mg,-1μg,
C113,"Mango, néctar envasado",FRUTAS Y DERIVADOS,44kcal,185KJ,87.40g,0.00g,0.00g,12.50g,11.00g,1.50g,0.10g,-1mg,-1mg,-1.00mg,0.03mg,26mg,15mg,-1μg,-1μg,-1.00mg,-1.00mg,-1.00mg,0.94mg,-1μg,
