Código,Título,Estrato,Energía <ENERC> - kcal,Energía <ENERC> - KJ,Agua <WATER>,Proteínas <PROCNT>,Grasa total <FAT>,Carbohidratos totales <CHOCDF>,Carbohidratos disponibles <CHOAVL>,Fibra dietaria <FIBTG>,Cenizas <ASH>,Calcio <CA>,Fósforo <P>,Zinc <ZN>,Hierro <FE>,Sodio <NA>,Potasio <K>,Vitamina A equivalentes totales <VITA>,Tiamina <THIA>,Riboflavina <RIBF>,Niacina <NIA>,Vitamina C <VITC>,Ácido fólico,Acción
SS276,Seco a la norteña de res con menestra y arroz,D,147kcal,616KJ,22.20g,8.80g,1.30g,24.80g,20.70g,4.10g,1.00g,32mg,122mg,1.50mg,1.90mg,127mg,5mg,3μg,0.05mg,0.05mg,1.83mg,1.47mg,0μg,
SS276,Seco a la norteña de res con menestra y arroz,E,117kcal,490KJ,17.80g,6.00g,1.50g,19.70g,17.50g,2.10g,0.70g,18mg,82mg,0.99mg,1.24mg,218mg,6mg,1μg,0.06mg,0.05mg,1.33mg,1.13mg,0μg,
SS277,"Seco a la norteña de res con menestra, sarsa criolla y arroz",A,108kcal,452KJ,28.10g,3.80g,0.80g,22.00g,19.00g,3.00g,0.80g,21mg,63mg,0.57mg,1.00mg,322mg,2mg,2μg,0.04mg,0.06mg,0.60mg,4.11mg,0μg,
SS277,Seco a la norteña de res con menestra. sarsa criolla y arroz,C,92kcal,384KJ,33.30g,4.70g,1.10g,16.10g,14.50g,1.60g,0.60g,17mg,68mg,0.89mg,1.02mg,200mg,6mg,7μg,0.05mg,0.09mg,1.31mg,4.83mg,0μg,
SS277,"Seco a la norteña de res con menestra, sarsa criolla y arroz",D,180kcal,754KJ,29.20g,9.60g,3.90g,26.00g,23.50g,2.50g,0.90g,22mg,110mg,1.48mg,1.70mg,715mg,9mg,1μg,0.05mg,0.04mg,2.00mg,1.51mg,0μg,
SS278,"Seco a la norteña con menestra, ensalada y arroz",D,104kcal,437KJ,15.20g,4.30g,1.10g,19.50g,15.60g,3.80g,0.90g,25mg,72mg,0.61mg,1.25mg,251mg,2mg,18μg,0.04mg,0.02mg,0.53mg,2.60mg,0μg,
SS279,Seco con menestra y arroz,B,133kcal,558KJ,16.70g,6.20g,0.70g,25.20g,22.30g,2.90g,0.70g,21mg,91mg,1.06mg,1.38mg,87mg,7mg,1μg,0.05mg,0.03mg,1.30mg,1.22mg,0μg,
SS280,Seco de cabrito a la norteña con menestra y arroz,D,151kcal,630KJ,29.40g,8.70g,1.80g,24.40g,21.30g,3.10g,1.00g,22mg,114mg,1.57mg,1.83mg,133mg,8mg,4μg,0.08mg,0.07mg,0.91mg,1.41mg,0μg,
SS281,Seco de cabrito con arroz,E,124kcal,520KJ,33.60g,6.40g,1.70g,20.40g,19.90g,0.40g,0.60g,12mg,80mg,1.31mg,1.22mg,260mg,31mg,4μg,0.06mg,0.08mg,0.82mg,1.71mg,0μg,
SS282,Seco de cabrito con menestra y arroz,A,109kcal,456KJ,27.10g,8.10g,1.30g,16.00g,14.10g,1.90g,1.00g,23mg,92mg,1.52mg,1.50mg,112mg,10mg,4μg,0.08mg,0.07mg,0.87mg,2.60mg,0μg,
SS282,Seco de cabrito con menestra y arroz,C,112kcal,469KJ,23.50g,6.40g,1.60g,17.80g,15.70g,2.10g,0.80g,16mg,84mg,1.16mg,1.34mg,186mg,7mg,2μg,0.06mg,0.05mg,0.68mg,1.62mg,0μg,
SS282,Seco de cabrito con menestra y arroz,E,165kcal,692KJ,25.30g,8.00g,2.60g,27.20g,23.80g,3.40g,0.90g,24mg,110mg,1.38mg,1.74mg,482mg,5mg,1μg,0.08mg,0.05mg,0.92mg,1.76mg,0μg,
SS283,"Seco de cabrito con menestra, sarsa criolla y arroz",A,147kcal,613KJ,28.00g,7.50g,1.70g,24.90g,22.00g,2.90g,0.90g,25mg,108mg,1.24mg,1.54mg,103mg,3mg,1μg,0.12mg,0.08mg,0.90mg,2.42mg,0μg,
SS283,"Seco de cabrito con menestra, sarsa criolla y arroz",D,97kcal,407KJ,26.30g,5.30g,1.20g,16.20g,14.10g,2.10g,0.60g,17mg,72mg,0.90mg,1.15mg,258mg,6mg,2μg,0.06mg,0.06mg,0.65mg,3.88mg,0μg,
SS284,Seco de costillar con menestra y arroz,D,126kcal,525KJ,33.20g,7.50g,1.40g,20.60g,17.40g,3.10g,1.00g,25mg,96mg,1.19mg,1.69mg,264mg,4mg,1μg,0.05mg,0.04mg,1.51mg,2.33mg,0μg,
SS285,Seco de cordero con arroz,A,172kcal,719KJ,17.20g,7.20g,5.40g,23.20g,22.80g,0.40g,0.30g,11mg,39mg,0.36mg,0.74mg,72mg,5mg,4μg,0.03mg,0.02mg,0.58mg,7.16mg,0μg,
SS286,Seco de cordero con menestra y arroz,C,95kcal,399KJ,14.10g,3.90g,1.50g,16.40g,14.10g,2.30g,0.60g,23mg,51mg,0.48mg,1.02mg,304mg,19mg,27μg,0.03mg,0.02mg,0.46mg,1.60mg,0μg,
SS286,Seco de cordero con menestra y arroz,D,187kcal,782KJ,20.40g,7.90g,5.70g,26.20g,23.30g,2.90g,1.00g,23mg,76mg,0.74mg,1.67mg,129mg,14mg,16μg,0.07mg,0.06mg,0.93mg,2.46mg,0μg,
SS286,Seco de cordero con menestra y arroz,E,154kcal,646KJ,15.90g,7.80g,4.10g,23.20g,20.30g,3.00g,1.00g,25mg,77mg,0.62mg,1.40mg,364mg,5mg,7μg,0.07mg,0.05mg,0.67mg,4.17mg,0μg,
SS287,"Seco de cordero con menestra, sarsa criolla y arroz",C,135kcal,563KJ,15.50g,6.50g,4.70g,16.60g,14.40g,2.20g,0.90g,19mg,49mg,0.45mg,1.12mg,626mg,16mg,5μg,0.03mg,0.02mg,0.45mg,1.72mg,0μg,
SS287,"Seco de cordero con menestra, sarsa criolla y arroz",E,187kcal,783KJ,30.40g,8.00g,2.10g,34.70g,29.30g,5.40g,1.20g,43mg,125mg,0.98mg,1.83mg,153mg,1mg,2μg,0.15mg,0.12mg,1.05mg,5.42mg,0μg,
SS288,Seco de pato con arroz,C,217kcal,907KJ,35.90g,9.00g,11.70g,18.50g,16.20g,2.30g,0.90g,25mg,122mg,0.98mg,1.53mg,141mg,7mg,56μg,0.07mg,0.12mg,2.52mg,3.19mg,0μg,
