Código,Título,Estrato,Energía <ENERC> - kcal,Energía <ENERC> - KJ,Agua <WATER>,Proteínas <PROCNT>,Grasa total <FAT>,Carbohidratos totales <CHOCDF>,Carbohidratos disponibles <CHOAVL>,Fibra dietaria <FIBTG>,Cenizas <ASH>,Calcio <CA>,Fósforo <P>,Zinc <ZN>,Hierro <FE>,Sodio <NA>,Potasio <K>,Vitamina A equivalentes totales <VITA>,Tiamina <THIA>,Riboflavina <RIBF>,Niacina <NIA>,Vitamina C <VITC>,Ácido fólico,Acción
SR15,Refresco de papaya,E,27kcal,113KJ,93.00g,0.00g,0.00g,6.90g,6.80g,0.10g,0.10g,5mg,1mg,0.02mg,0.13mg,0mg,0mg,4μg,0.00mg,0.01mg,0.04mg,3.83mg,0μg,
SR16,Refresco de piña,A,19kcal,82KJ,95.00g,0.00g,0.00g,5.00g,4.90g,0.00g,0.00g,2mg,0mg,0.01mg,0.10mg,0mg,0mg,0μg,0.00mg,0.00mg,0.01mg,0.69mg,0μg,
SR16,Refresco de piña,B,23kcal,95KJ,94.20g,0.00g,0.00g,5.80g,5.70g,0.10g,0.00g,3mg,0mg,0.01mg,0.10mg,0mg,0mg,0μg,0.00mg,0.00mg,0.02mg,0.96mg,0μg,
SR16,Refresco de piña,C,24kcal,101KJ,93.70g,0.00g,0.00g,6.20g,6.00g,0.10g,0.10g,5mg,1mg,0.02mg,0.14mg,1mg,0mg,0μg,0.00mg,0.01mg,0.03mg,1.24mg,0μg,
SR16,Refresco de piña,D,25kcal,105KJ,93.60g,0.00g,0.00g,6.40g,6.40g,0.00g,0.00g,3mg,0mg,0.01mg,0.12mg,0mg,0mg,0μg,0.00mg,0.00mg,0.01mg,0.75mg,0μg,
SR16,Refresco de piña,E,22kcal,91KJ,94.40g,0.00g,0.00g,5.60g,5.50g,0.10g,0.00g,3mg,0mg,0.01mg,0.11mg,0mg,0mg,0μg,0.00mg,0.00mg,0.02mg,0.88mg,0μg,
SR17,Refresco de soya,C,53kcal,223KJ,86.60g,2.40g,1.30g,9.30g,8.60g,0.70g,0.40g,26mg,54mg,0.32mg,0.65mg,0mg,0mg,0μg,0.05mg,0.03mg,0.19mg,0.43mg,0μg,
SR18,Chicha de jora,C,39kcal,163KJ,90.30g,0.30g,0.20g,9.00g,9.00g,0.00g,0.20g,16mg,15mg,0.01mg,1.21mg,0mg,0mg,0μg,0.02mg,0.07mg,0.16mg,1.53mg,0μg,
SR18,Chicha de jora,D,28kcal,117KJ,93.20g,0.40g,0.30g,5.80g,5.80g,0.00g,0.30g,22mg,18mg,0.00mg,1.80mg,0mg,0mg,0μg,0.02mg,0.10mg,0.20mg,2.40mg,0μg,
SR19,Chicha morada,A,50kcal,211KJ,87.00g,0.60g,0.30g,11.90g,11.70g,0.00g,0.20g,4mg,25mg,0.01mg,0.13mg,0mg,0mg,0μg,0.03mg,0.02mg,0.22mg,1.20mg,0μg,
SR19,Chicha morada,B,36kcal,152KJ,90.80g,0.30g,0.20g,8.60g,8.50g,0.00g,0.10g,3mg,16mg,0.01mg,0.11mg,0mg,0mg,0μg,0.02mg,0.01mg,0.14mg,1.46mg,0μg,
SR19,Chicha morada,C,45kcal,188KJ,88.60g,0.50g,0.20g,10.60g,10.40g,0.00g,0.10g,4mg,20mg,0.01mg,0.13mg,0mg,0mg,0μg,0.02mg,0.02mg,0.18mg,1.19mg,0μg,
SR19,Chicha morada,D,40kcal,169KJ,89.70g,0.40g,0.20g,9.60g,9.50g,0.10g,0.10g,3mg,17mg,0.01mg,0.13mg,0mg,0mg,0μg,0.02mg,0.01mg,0.15mg,0.66mg,0μg,
SR19,Chicha morada,E,49kcal,205KJ,87.60g,0.50g,0.20g,11.60g,11.60g,0.00g,0.10g,4mg,21mg,0.01mg,0.14mg,0mg,0mg,0μg,0.02mg,0.02mg,0.18mg,0.72mg,0μg,
SR20,Naranjada,D,19kcal,78KJ,95.30g,0.00g,0.00g,4.70g,4.70g,0.00g,0.00g,3mg,0mg,0.01mg,0.08mg,0mg,0mg,0μg,0.00mg,0.00mg,0.01mg,1.32mg,0μg,
SP1,Arroz con leche,A,149kcal,625KJ,63.50g,2.00g,0.30g,33.90g,34.00g,0.00g,0.20g,14mg,34mg,0.40mg,0.52mg,0mg,0mg,1μg,0.03mg,0.02mg,0.53mg,0.23mg,0μg,
SP1,Arroz con leche,B,149kcal,624KJ,63.90g,2.20g,1.60g,31.90g,31.70g,0.10g,0.50g,45mg,52mg,0.37mg,0.46mg,0mg,0mg,10μg,0.02mg,0.11mg,0.39mg,0.19mg,0μg,
SP1,Arroz con leche,C,131kcal,548KJ,69.00g,2.30g,1.70g,26.80g,26.60g,0.00g,0.40g,51mg,57mg,0.38mg,0.39mg,3mg,0mg,13μg,0.02mg,0.14mg,0.37mg,0.13mg,0μg,
SP1,Arroz con leche,D,224kcal,939KJ,45.90g,3.30g,2.10g,48.50g,47.70g,0.40g,0.60g,67mg,77mg,0.60mg,1.03mg,0mg,3mg,13μg,0.04mg,0.15mg,0.66mg,0.46mg,0μg,
SP1,Arroz con leche,E,125kcal,524KJ,69.50g,1.50g,0.80g,28.00g,27.60g,0.30g,0.30g,37mg,36mg,0.29mg,0.61mg,27mg,2mg,6μg,0.02mg,0.07mg,0.31mg,0.25mg,0μg,
SP2,Arroz zambito,B,124kcal,519KJ,69.60g,1.80g,0.60g,27.80g,27.80g,0.00g,0.20g,22mg,38mg,0.37mg,0.68mg,0mg,0mg,4μg,0.02mg,0.06mg,0.44mg,0.17mg,0μg,
SP2,Arroz zambito,E,304kcal,1273KJ,26.20g,4.90g,2.10g,66.20g,65.80g,0.20g,0.80g,72mg,109mg,0.88mg,1.13mg,0mg,0mg,15μg,0.06mg,0.18mg,1.03mg,0.51mg,0μg,
SP3,Budín de pan,A,165kcal,688KJ,63.10g,3.00g,2.40g,30.80g,30.50g,0.20g,0.80g,81mg,72mg,0.37mg,1.89mg,0mg,0mg,18μg,0.05mg,0.17mg,0.38mg,0.38mg,12μg,
SP3,Budín de pan,C,208kcal,868KJ,53.00g,4.50g,5.30g,36.60g,35.90g,0.00g,1.30g,173mg,143mg,0.60mg,0.60mg,0mg,0mg,45μg,0.02mg,0.47mg,0.28mg,0.00mg,2μg,
SP3,Budín de pan,D,227kcal,951KJ,49.50g,4.60g,6.10g,38.80g,38.20g,0.50g,1.10g,57mg,70mg,0.44mg,2.43mg,0mg,0mg,57μg,0.04mg,0.22mg,0.94mg,0.05mg,39μg,
SP4,Compota de frutas,A,117kcal,488KJ,71.90g,0.60g,0.10g,30.20g,26.30g,0.70g,0.40g,10mg,0mg,0.08mg,1.59mg,0mg,0mg,4μg,0.00mg,0.01mg,0.01mg,0.35mg,0μg,
SP4,Compota de frutas,C,47kcal,198KJ,89.70g,0.20g,0.00g,11.90g,9.90g,0.10g,0.10g,5mg,1mg,0.05mg,0.76mg,1mg,0mg,0μg,0.00mg,0.01mg,0.02mg,1.26mg,0μg,
SP5,Crema volteada,B,198kcal,830KJ,59.80g,8.70g,8.70g,21.70g,21.40g,0.00g,1.40g,150mg,146mg,1.00mg,1.24mg,0mg,0mg,96μg,0.04mg,0.41mg,0.20mg,0.03mg,0μg,
SP6,Durazno al almibar,C,208kcal,869KJ,45.80g,0.20g,0.10g,53.50g,53.10g,0.40g,0.40g,23mg,1mg,0.09mg,1.03mg,0mg,0mg,2μg,0.00mg,0.02mg,0.03mg,0.20mg,0μg,
SP7,Dulce de cañihua,C,45kcal,187KJ,90.00g,1.50g,1.60g,6.70g,6.10g,0.40g,0.40g,46mg,51mg,0.26mg,0.20mg,0mg,17mg,11μg,0.01mg,0.11mg,0.09mg,0.02mg,0μg,
SP8,Ensalada de frutas,B,66kcal,277KJ,82.40g,0.70g,0.50g,15.90g,14.50g,1.40g,0.50g,28mg,25mg,0.12mg,1.41mg,0mg,0mg,32μg,0.04mg,0.07mg,0.70mg,33.89mg,0μg,
SP9,Flan,A,100kcal,419KJ,89.30g,2.70g,3.10g,15.20g,4.30g,0.00g,0.60g,93mg,83mg,0.35mg,1.15mg,0mg,0mg,25μg,0.04mg,0.18mg,0.11mg,0.44mg,0μg,
SP9,Flan,B,52kcal,217KJ,96.80g,0.80g,1.00g,10.00g,1.20g,0.00g,0.20g,29mg,25mg,0.10mg,0.00mg,0mg,0mg,8μg,0.00mg,0.08mg,0.04mg,0.00mg,0μg,
SP10,Gelatina,A,56kcal,234KJ,98.50g,1.50g,0.00g,12.50g,0.00g,0.00g,0.00g,0mg,0mg,0.00mg,0.00mg,0mg,0mg,0μg,0.00mg,0.00mg,0.00mg,1.96mg,0μg,
SP10,Gelatina,B,62kcal,260KJ,98.40g,1.60g,0.00g,13.90g,0.00g,0.00g,0.00g,0mg,0mg,0.00mg,0.00mg,0mg,0mg,0μg,0.00mg,0.00mg,0.00mg,2.18mg,0μg,
SP10,Gelatina,C,89kcal,373KJ,96.70g,2.20g,0.00g,20.10g,1.10g,0.00g,0.00g,0mg,0mg,0.00mg,0.00mg,0mg,0mg,0μg,0.00mg,0.00mg,0.00mg,2.97mg,0μg,
SP10,Gelatina,D,75kcal,315KJ,98.00g,2.00g,0.00g,16.80g,0.00g,0.00g,0.00g,0mg,0mg,0.00mg,0.00mg,0mg,0mg,0μg,0.00mg,0.00mg,0.00mg,2.63mg,0μg,
SP10,Gelatina,E,57kcal,239KJ,98.50g,1.50g,0.00g,12.80g,0.00g,0.00g,0.00g,0mg,0mg,0.00mg,0.00mg,0mg,0mg,0μg,0.00mg,0.00mg,0.00mg,2.00mg,0μg,
SP11,Leche asada,A,152kcal,637KJ,70.80g,7.30g,7.00g,14.10g,14.00g,0.00g,0.90g,78mg,116mg,0.89mg,1.37mg,0mg,0mg,80μg,0.04mg,0.29mg,0.15mg,0.00mg,0μg,
SP12,Mazamorra de frutas,A,52kcal,216KJ,90.90g,0.20g,0.10g,12.90g,8.50g,0.20g,0.10g,5mg,7mg,0.05mg,0.29mg,0mg,0mg,0μg,0.01mg,0.01mg,0.05mg,1.38mg,0μg,
SP12,Mazamorra de frutas,B,57kcal,240KJ,83.70g,0.30g,0.20g,15.60g,14.40g,1.20g,0.20g,6mg,10mg,0.05mg,0.38mg,0mg,0mg,1μg,0.01mg,0.01mg,0.05mg,0.97mg,0μg,
SP12,Mazamorra de frutas,C,50kcal,210KJ,89.50g,0.60g,0.10g,12.20g,9.30g,0.30g,0.20g,5mg,5mg,0.08mg,1.13mg,0mg,0mg,0μg,0.02mg,0.02mg,0.17mg,2.03mg,0μg,
SP12,Mazamorra de frutas,D,52kcal,217KJ,90.10g,0.30g,0.10g,12.90g,9.10g,0.20g,0.20g,5mg,8mg,0.06mg,0.70mg,0mg,0mg,2μg,0.01mg,0.01mg,0.09mg,1.53mg,0μg,
SP12,Mazamorra de frutas,E,50kcal,209KJ,89.00g,0.60g,0.20g,12.40g,9.20g,0.70g,0.30g,7mg,12mg,0.09mg,1.12mg,0mg,0mg,16μg,0.02mg,0.01mg,0.11mg,2.07mg,0μg,
SP13,Mazamorra de sémola,B,118kcal,496KJ,69.50g,1.70g,0.50g,28.10g,27.40g,0.70g,0.20g,22mg,31mg,0.25mg,0.38mg,0mg,0mg,2μg,0.03mg,0.04mg,0.24mg,0.00mg,0μg,
SP14,Mazamorra de maizena,E,76kcal,317KJ,81.60g,1.00g,1.20g,16.00g,15.80g,0.10g,0.30g,40mg,34mg,0.15mg,0.26mg,0mg,0mg,9μg,0.01mg,0.10mg,0.08mg,0.01mg,0μg,
SP15,Mazamorra morada,A,58kcal,244KJ,86.60g,0.60g,0.30g,13.80g,12.00g,0.20g,0.30g,5mg,25mg,0.03mg,0.50mg,0mg,9mg,8μg,0.03mg,0.03mg,0.24mg,1.04mg,0μg,
SP15,Mazamorra morada,B,64kcal,268KJ,91.50g,0.50g,0.10g,15.70g,7.30g,0.30g,0.30g,8mg,8mg,0.09mg,1.52mg,1mg,1mg,0μg,0.01mg,0.02mg,0.06mg,3.34mg,0μg,
SP15,Mazamorra morada,C,59kcal,247KJ,98.20g,0.50g,0.00g,14.20g,1.00g,0.00g,0.30g,0mg,0mg,0.08mg,1.93mg,0mg,0mg,0μg,0.00mg,0.00mg,0.00mg,0.00mg,0μg,
SP15,Mazamorra morada,D,80kcal,335KJ,81.20g,0.60g,0.30g,19.30g,17.50g,0.10g,0.30g,10mg,25mg,0.04mg,0.57mg,0mg,0mg,18μg,0.03mg,0.02mg,0.24mg,0.67mg,0μg,
SP15,Mazamorra morada,E,47kcal,199KJ,91.20g,0.80g,0.30g,10.70g,7.40g,0.00g,0.30g,2mg,27mg,0.04mg,1.03mg,0mg,0mg,0μg,0.03mg,0.02mg,0.23mg,0.17mg,0μg,
SP16,Panqueque relleno,A,180kcal,752KJ,57.50g,3.90g,3.20g,34.90g,34.20g,0.60g,0.60g,39mg,56mg,0.49mg,1.80mg,0mg,0mg,38μg,0.05mg,0.15mg,0.31mg,0.81mg,0μg,
SP17,Tiramisú,B,297kcal,1242KJ,54.10g,8.70g,23.60g,12.00g,12.00g,0.00g,1.60g,199mg,239mg,0.75mg,2.04mg,0mg,0mg,298μg,0.06mg,0.22mg,0.20mg,0.86mg,0μg,
SS335,Ají de gallina con papa blanca más arroz*,Nulo,111kcal,465KJ,73.60g,3.70g,1.90g,19.70g,-1.00g,-1.00g,1.10g,-1mg,-1mg,-1.00mg,-1.00mg,-1mg,-1mg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
SS336,Ají de pollo con zanahoria más arroz blanco*,Nulo,124kcal,519KJ,69.90g,5.20g,1.50g,22.40g,-1.00g,-1.00g,1.00g,-1mg,-1mg,-1.00mg,-1.00mg,-1mg,-1mg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
SS337,Ajiaco de papa con huevo duro y arroz blanco*,Nulo,106kcal,445KJ,74.60g,4.70g,1.80g,17.80g,-1.00g,-1.00g,1.10g,-1mg,-1mg,-1.00mg,-1.00mg,-1mg,-1mg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
SS338,Arroz blanco con guiso de pota*,Nulo,103kcal,430KJ,74.70g,3.30g,1.40g,19.30g,-1.00g,-1.00g,1.30g,-1mg,-1mg,-1.00mg,-1.00mg,-1mg,-1mg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
SS339,Arroz blanco con tortilla de atún*,Nulo,210kcal,879KJ,55.40g,6.70g,7.60g,28.80g,-1.00g,-1.00g,1.50g,-1mg,-1mg,-1.00mg,-1.00mg,-1mg,-1mg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
SS340,Arroz blanco con tortilla de atún con pota*,Nulo,210kcal,879KJ,56.60g,7.20g,8.40g,26.30g,-1.00g,-1.00g,1.40g,-1mg,-1mg,-1.00mg,-1.00mg,-1mg,-1mg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
SS341,Arvejita verde partida con arroz blanco y ceviche de pollo*,Nulo,129kcal,541KJ,68.60g,6.20g,1.90g,22.00g,-1.00g,-1.00g,1.40g,-1mg,-1mg,-1.00mg,-1.00mg,-1mg,-1mg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
SS342,Arvejita verde partida con croquetas de pescado y arroz blanco*,Nulo,130kcal,544KJ,67.90g,5.30g,1.40g,24.10g,-1.00g,-1.00g,1.30g,-1mg,-1mg,-1.00mg,-1.00mg,-1mg,-1mg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
SS343,Arverjita verde partida con guiso de pescado y arroz*,Nulo,143kcal,598KJ,66.40g,6.80g,2.90g,22.30g,-1.00g,-1.00g,1.50g,-1mg,-1mg,-1.00mg,-1.00mg,-1mg,-1mg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
SS344,Arvejita verde partida con hígado entomatado más arroz blanco*,Nulo,123kcal,513KJ,71.00g,6.00g,2.30g,19.50g,-1.00g,-1.00g,1.20g,-1mg,-1mg,-1.00mg,-1.00mg,-1mg,-1mg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
SS345,Arvejita verde partida con papa e hígado frito más arroz blanco*,Nulo,133kcal,557KJ,69.50g,5.50g,3.10g,20.80g,-1.00g,-1.00g,1.10g,-1mg,-1mg,-1.00mg,-1.00mg,-1mg,-1mg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
SS346,Arvejita con papa e hígado entomatado*,Nulo,124kcal,519KJ,70.00g,7.40g,2.00g,19.20g,-1.00g,-1.00g,1.40g,-1mg,-1mg,-1.00mg,-1.00mg,-1mg,-1mg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
SS347,Arvejita con papa e hígado empimentado con arroz*,Nulo,114kcal,478KJ,71.10g,5.50g,0.70g,21.50g,-1.00g,-1.00g,1.20g,-1mg,-1mg,-1.00mg,-1.00mg,-1mg,-1mg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
SS348,Cau cau de pollo e hígado de pollo con arroz*,Nulo,122kcal,510KJ,71.30g,5.80g,2.30g,19.40g,-1.00g,-1.00g,1.20g,-1mg,-1mg,-1.00mg,-1.00mg,-1mg,-1mg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
SS349,Carapulcra de morón con pollo y yuca*,Nulo,76kcal,320KJ,81.00g,2.40g,0.90g,14.80g,-1.00g,-1.00g,1.00g,-1mg,-1mg,-1.00mg,-1.00mg,-1mg,-1mg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
SS350,Carapulcra de trigo con papa y pollo más arroz*,Nulo,101kcal,422KJ,74.20g,4.30g,0.50g,19.90g,-1.00g,-1.00g,1.20g,-1mg,-1mg,-1.00mg,-1.00mg,-1mg,-1mg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
SS351,Frejol panamíto con atún al jugo más arroz blanco*,Nulo,127kcal,532KJ,70.50g,5.60g,3.00g,19.50g,-1.00g,-1.00g,1.40g,-1mg,-1mg,-1.00mg,-1.00mg,-1mg,-1mg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
SS352,Frejol panamito con papa y sangrecita entomatada*,Nulo,118kcal,495KJ,71.50g,5.30g,1.90g,20.00g,-1.00g,-1.00g,1.30g,-1mg,-1mg,-1.00mg,-1.00mg,-1mg,-1mg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
SS353,Guiso de caigua con pollo*,Nulo,117kcal,489KJ,73.80g,5.20g,3.40g,16.40g,-1.00g,-1.00g,1.20g,-1mg,-1mg,-1.00mg,-1.00mg,-1mg,-1mg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
SS354,Guiso de frejol panamito con atún más ensalada de pepinillo*,Nulo,163kcal,681KJ,65.90g,6.80g,6.20g,20.00g,-1.00g,-1.00g,1.10g,-1mg,-1mg,-1.00mg,-1.00mg,-1mg,-1mg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
SS355,Guiso de frejol panamito con pescado frito más ensalada de pepinillo*,Nulo,132kcal,554KJ,67.90g,6.60g,1.70g,22.60g,-1.00g,-1.00g,1.10g,-1mg,-1mg,-1.00mg,-1.00mg,-1mg,-1mg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
SS356,Lentejas con ensalada de atún y arroz blanco*,Nulo,132kcal,552KJ,68.10g,6.10g,2.00g,22.50g,-1.00g,-1.00g,1.30g,-1mg,-1mg,-1.00mg,-1.00mg,-1mg,-1mg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
SS357,Lentejas con huevo sancochado y ensalada de zanahoria más arroz blanco*,Nulo,115kcal,479KJ,73.00g,5.60g,2.20g,18.10g,-1.00g,-1.00g,1.20g,-1mg,-1mg,-1.00mg,-1.00mg,-1mg,-1mg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
SS358,Lentejas con pollo e hígado de pollo al jugo con arroz*,Nulo,119kcal,496KJ,70.80g,6.40g,1.70g,19.30g,-1.00g,-1.00g,1.40g,-1mg,-1mg,-1.00mg,-1.00mg,-1mg,-1mg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
SS359,Lentejas y papa con guiso de sangrecita más arroz blanco*,Nulo,120kcal,500KJ,71.50g,5.00g,2.10g,20.10g,-1.00g,-1.00g,1.30g,-1mg,-1mg,-1.00mg,-1.00mg,-1mg,-1mg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
SS360,Locro de zapallo con huevo sancochado y arroz blanco*,Nulo,113kcal,474KJ,73.80g,4.90g,2.60g,17.60g,-1.00g,-1.00g,1.10g,-1mg,-1mg,-1.00mg,-1.00mg,-1mg,-1mg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
SS361,"Locro de zapallo con leche, habas frescas y guiso de hígado con arroz blanco*",Nulo,125kcal,525KJ,70.00g,4.20g,2.20g,22.10g,-1.00g,-1.00g,1.40g,-1mg,-1mg,-1.00mg,-1.00mg,-1mg,-1mg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
SS362,Lomito saltado con hígado*,Nulo,166kcal,694KJ,61.20g,6.20g,3.30g,27.90g,-1.00g,-1.00g,1.40g,-1mg,-1mg,-1.00mg,-1.00mg,-1mg,-1mg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
SS363,Lomito saltado con sangrecita e hígado*,Nulo,179kcal,747KJ,60.20g,5.90g,5.00g,27.40g,-1.00g,-1.00g,1.40g,-1mg,-1mg,-1.00mg,-1.00mg,-1mg,-1mg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
SS364,Puré de brócoli con papa y guiso de carne más arroz*,Nulo,125kcal,525KJ,69.10g,4.80g,1.50g,23.30g,-1.00g,-1.00g,1.30g,-1mg,-1mg,-1.00mg,-1.00mg,-1mg,-1mg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
SS365,Puré de espinaca con huevo sancochado y arroz blanco*,Nulo,108kcal,452KJ,74.30g,4.10g,2.10g,18.20g,-1.00g,-1.00g,1.20g,-1mg,-1mg,-1.00mg,-1.00mg,-1mg,-1mg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
SS366,Puré de papa con hígado al jugo y arroz*,Nulo,125kcal,523KJ,70.80g,4.10g,2.80g,20.90g,-1.00g,-1.00g,1.40g,-1mg,-1mg,-1.00mg,-1.00mg,-1mg,-1mg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
SS367,Puré de papa con huevo sancochado y arroz*,Nulo,116kcal,486KJ,74.80g,4.30g,3.90g,15.90g,-1.00g,-1.00g,1.10g,-1mg,-1mg,-1.00mg,-1.00mg,-1mg,-1mg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
SS368,Saltado de fideos con sangrecita de pollo*,Nulo,140kcal,585KJ,67.80g,5.40g,3.70g,21.20g,-1.00g,-1.00g,1.90g,-1mg,-1mg,-1.00mg,-1.00mg,-1mg,-1mg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
SS369,Saltado de vainita con guiso de corazón más arroz*,Nulo,143kcal,598KJ,68.60g,4.30g,4.60g,21.10g,-1.00g,-1.00g,1.40g,-1mg,-1mg,-1.00mg,-1.00mg,-1mg,-1mg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
SS370,Saltado de vainita y papa con guiso de corazón más arroz blanco*,Nulo,133kcal,556KJ,69.60g,3.90g,3.50g,21.50g,-1.00g,-1.00g,1.50g,-1mg,-1mg,-1.00mg,-1.00mg,-1mg,-1mg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
SS371,"Tallarines con salsa de tomate, carne, hígado de pollo*",Nulo,131kcal,548KJ,69.20g,9.40g,2.80g,17.20g,-1.00g,-1.00g,1.50g,-1mg,-1mg,-1.00mg,-1.00mg,-1mg,-1mg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
SS372,Tallarines rojos con atún*,Nulo,107kcal,447KJ,73.60g,4.30g,1.00g,20.10g,-1.00g,-1.00g,1.00g,-1mg,-1mg,-1.00mg,-1.00mg,-1mg,-1mg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
SS373,Tallarines rojos con carne y rodajas de camote*,Nulo,106kcal,443KJ,75.50g,9.60g,2.60g,11.00g,-1.00g,-1.00g,1.30g,-1mg,-1mg,-1.00mg,-1.00mg,-1mg,-1mg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
SS374,Tallarines rojos con conserva de anchoveta*,Nulo,93kcal,389KJ,78.30g,3.90g,1.90g,15.00g,-1.00g,-1.00g,0.90g,-1mg,-1mg,-1.00mg,-1.00mg,-1mg,-1mg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
SS375,Tallarines rojos con hígado de pollo*,Nulo,118kcal,493KJ,70.70g,6.90g,1.70g,18.60g,-1.00g,-1.00g,1.10g,-1mg,-1mg,-1.00mg,-1.00mg,-1mg,-1mg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
SS376,Tallarín saltado más papa frita y sangrecita*,Nulo,135kcal,564KJ,68.40g,4.10g,2.70g,23.50g,-1.00g,-1.00g,1.30g,-1mg,-1mg,-1.00mg,-1.00mg,-1mg,-1mg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
SS377,Tallarines verdes con hígado al jugo más camote*,Nulo,119kcal,499KJ,71.90g,5.20g,2.40g,19.20g,-1.00g,-1.00g,1.30g,-1mg,-1mg,-1.00mg,-1.00mg,-1mg,-1mg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
SB1,"Hojuela de cereal, con canela, bebida de*",Nulo,26kcal,107KJ,94.20g,1.20g,0.60g,3.90g,-1.00g,-1.00g,0.10g,-1mg,-1mg,-1.00mg,-1.00mg,-1mg,-1mg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
SB2,"Hojuela de cereal, con cocoa, clavo de olor y canela, bebida de*",Nulo,22kcal,90KJ,95.00g,1.40g,0.40g,3.10g,-1.00g,-1.00g,0.10g,-1mg,-1mg,-1.00mg,-1.00mg,-1mg,-1mg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
SB3,"Hojuela de cereal, con membrillo, bebida de*",Nulo,26kcal,109KJ,93.80g,1.30g,0.40g,4.40g,-1.00g,-1.00g,0.10g,-1mg,-1mg,-1.00mg,-1.00mg,-1mg,-1mg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
SB4,"Hojuela de cereal, con avena precocida, bebida de*",Nulo,17kcal,73KJ,96.10g,1.30g,0.40g,2.20g,-1.00g,-1.00g,0.10g,-1mg,-1mg,-1.00mg,-1.00mg,-1mg,-1mg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
SB5,"Hojuela de cereal, con leche evaporada entera UHT, bebida de*",Nulo,35kcal,146KJ,92.70g,1.30g,1.40g,4.20g,-1.00g,-1.00g,0.40g,-1mg,-1mg,-1.00mg,-1.00mg,-1mg,-1mg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
